PLAYER,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
James Harden,HOU,68,36.5,0.444(9.9/22.3),0.865(10.2/11.8),4.4,34.3,6.5,7.5,1.8,0.9,4.5,16.87
Anthony Davis,LAL,62,34.4,0.503(8.9/17.7),0.846(7.2/8.5),1.2,26.1,9.3,3.2,1.5,2.3,2.5,13.97
Damian Lillard,POR,66,37.5,0.463(9.5/20.4),0.888(7.0/7.9),4.1,30,4.3,8,1.1,0.3,2.9,12.54
Karl-Anthony Towns ,MIN,35,33.9,0.508(9.0/17.8),0.796(5.1/6.5),3.3,26.5,10.8,4.4,0.9,1.2,3.1,11.79
Kawhi Leonard,LAC,57,32.4,0.470(9.3/19.9),0.886(6.3/7.1),2.2,27.1,7.1,4.9,1.8,0.6,2.6,11.69
Kyrie Irving ,BRO,20,32.9,0.478(10.0/20.8),0.922(4.7/5.1),2.8,27.4,5.2,6.4,1.4,0.5,2.6,11.51
Jusuf Nurkic,POR,8,31.6,0.495(6.8/13.6),0.886(3.9/4.4),0.3,17.6,10.3,4,1.4,2,2.4,10.46
Trae Young,ATL,60,35.3,0.437(9.1/20.8),0.860(8.0/9.3),3.4,29.6,4.2,9.3,1.1,0.1,4.8,9.93
John Collins,ATL,41,33.2,0.583(8.6/14.8),0.800(2.9/3.7),1.4,21.6,10.1,1.5,0.8,1.6,1.8,9.77
Bradley Beal ,WAS,57,36,0.455(10.4/22.9),0.843(6.8/8.0),3,30.6,4.2,6.1,1.3,0.4,3.4,9.11
Nikola Jokic,DEN,73,32,0.528(7.7/14.7),0.817(3.4/4.1),1.1,19.9,9.7,7,1.2,0.6,3.1,9
Devin Booker,PHX,70,35.9,0.489(9.0/18.3),0.919(6.7/7.3),2,26.6,4.2,6.5,0.7,0.3,3.8,8.96
Hassan Whiteside,POR,67,30,0.621(6.5/10.5),0.686(2.5/3.6),0.1,15.5,13.5,1.2,0.4,2.9,1.8,8.57
LeBron James,LAL,67,34.6,0.493(9.6/19.5),0.693(3.9/5.7),2.2,25.3,7.8,10.2,1.2,0.5,3.9,8.49
Luka Doncic,DAL,61,33.6,0.463(9.5/20.6),0.758(7.0/9.2),2.8,28.8,9.4,8.8,1,0.2,4.3,8.34
Joel Embiid,PHI,51,29.5,0.476(7.5/15.7),0.807(6.9/8.6),1.1,23,11.6,3,0.9,1.3,3.1,7.88
Stephen Curry,GSW,5,27.9,0.402(6.6/16.4),1.000(5.2/5.2),2.4,20.8,5.2,6.6,1,0.4,3.2,7.69
Jimmy Butler ,MIA,58,33.8,0.455(6.0/13.1),0.834(7.6/9.1),0.5,19.9,6.6,6,1.8,0.6,2.2,7.64
Chris Paul,OKL,70,31.5,0.489(6.2/12.7),0.907(3.6/4.0),1.6,17.6,5,6.7,1.6,0.2,2.3,7.56
Kyle Lowry,TOR,58,36.2,0.416(5.8/13.8),0.857(5.1/5.9),2.8,19.4,5,7.5,1.4,0.4,3.1,7.44
Jayson Tatum,BOS,66,34.3,0.450(8.4/18.6),0.812(3.9/4.7),2.9,23.4,7,3,1.4,0.9,2.3,7.4
Giannis Antetokounmpo,MIL,63,30.4,0.553(10.9/19.7),0.633(6.3/10.0),1.4,29.5,13.6,5.6,1,1,3.7,7.34
Paul George,LAC,48,29.6,0.439(7.2/16.3),0.876(4.0/4.5),3.3,21.5,5.7,3.9,1.4,0.4,2.6,7.08
Russell Westbrook ,HOU,57,36,0.472(10.6/22.5),0.763(5.1/6.7),1,27.2,7.9,7,1.6,0.4,4.5,6.96
Kristaps Porzingis,DAL,57,31.8,0.427(7.0/16.4),0.799(4.0/5.0),2.5,20.4,9.5,1.8,0.7,2,1.6,6.92
Brandon Ingram,NOP,62,33.9,0.463(8.2/17.7),0.851(5.1/5.9),2.4,23.8,6.1,4.2,1,0.6,3,6.84
Zach LaVine,CHI,60,34.8,0.449(9.0/20.0),0.802(4.5/5.6),3.1,25.5,4.8,4.2,1.5,0.5,3.4,6.58
Andre Drummond,CLE,57,33,0.533(7.3/13.8),0.575(3.0/5.2),0.1,17.7,15.2,2.7,1.9,1.6,3.6,6.54
Khris Middleton,MIL,62,29.9,0.497(7.6/15.3),0.916(3.4/3.7),2.4,20.9,6.2,4.3,0.9,0.1,2.2,6.51
