PLAYER,TOTAL
James Harden,15.03
Damian Lillard,11.29
Anthony Davis,11
Karl-Anthony Towns ,10.69
Kyrie Irving ,9.79
Kawhi Leonard,9.76
Trae Young,9.47
Luka Doncic,9.22
LeBron James,8.97
Bradley Beal ,8.55
Giannis Antetokounmpo,8.52
Jusuf Nurkic,7.89
Nikola Jokic,7.59
John Collins,7.44
Devin Booker,7.02
Jayson Tatum,6.98
Kyle Lowry,6.94
Russell Westbrook ,6.92
Joel Embiid,6.89
Kristaps Porzingis,6.65
Stephen Curry,6.5
Zach LaVine,6.49
Paul George,6.48
Hassan Whiteside,6.42
Andre Drummond,6.39
Jimmy Butler ,6.16
Brandon Ingram,6.1
Chris Paul,5.97
Nikola Vucevic,5.92
Fred VanVleet,5.79
D'Angelo Russell,5.63
Jrue Holiday,5.63
Pascal Siakam,5.53
Ben Simmons ,5.47
Khris Middleton,5.37
Kemba Walker ,4.96
LaMarcus Aldridge ,4.76
Deandre Ayton,4.68
Donovan Mitchell,4.64
Bam Adebayo,4.64
Jonathan Isaac ,4.55
Rudy Gobert,4.54
Clint Capela ,4.54
Domantas Sabonis ,4.53
Devonte' Graham,4.44
Kevin Love,4.42
CJ McCollum,4.34
DeMar DeRozan,4.33
Ricky Rubio,3.88
Robert Covington,3.86
Lonzo Ball,3.85
De'Aaron Fox,3.71
Tobias Harris,3.64
Buddy Hield,3.58
Gordon Hayward,3.56
Jamal Murray ,3.47
Shai Gilgeous-Alexander,3.43
Jaylen Brown,3.4
Kelly Oubre Jr. ,3.36
Jaren Jackson Jr. ,3.36
Andrew Wiggins,3.28
Marcus Smart,3.15
Terry Rozier,3.14
Jonas Valanciunas,3.08
Davis Bertans ,2.97
T.J. Warren,2.92
Danilo Gallinari,2.9
Will Barton ,2.88
Malcolm Brogdon ,2.83
Brook Lopez ,2.83
Evan Fournier,2.54
Myles Turner,2.53
Spencer Dinwiddie,2.47
Ja Morant,2.45
Al Horford,2.41
Bojan Bogdanovic ,2.32
Richaun Holmes,2.15
Norman Powell,2.14
Julius Randle,2.13
Draymond Green,2.1
Eric Bledsoe,1.96
Dennis Schroder ,1.89
Lou Williams,1.82
Derrick Rose,1.71
Nemanja Bjelica,1.71
Collin Sexton,1.68
Bogdan Bogdanovic,1.67
Luke Kennard,1.63
Thomas Bryant,1.61
Dejounte Murray,1.54
Serge Ibaka,1.48
Mitchell Robinson,1.43
Caris LeVert,1.39
Lauri Markkanen,1.36
Duncan Robinson,1.34
Kevin Huerter,1.29
Marcus Morris Sr.,1.28
Aaron Gordon ,1.25
Goran Dragic ,1.22
Elfrid Payton,1.15
Alec Burks,1.13
OG Anunoby,1.08
Montrezl Harrell ,1.05
Jae Crowder,0.98
Jarrett Allen,0.95
Joe Ingles,0.79
Carmelo Anthony,0.75
Steven Adams,0.74
Jabari Parker,0.69
Cameron Payne,0.66
Terrence Ross,0.62
Larry Nance Jr.,0.61
Derrick White,0.58
Joe Harris,0.57
Daniel Theis,0.52
JJ Redick,0.51
Tim Hardaway Jr.,0.49
Mike Conley,0.49
Marc Gasol,0.48
Jeremy Lamb ,0.48
Damion Lee,0.43
Patrick Beverley ,0.4
Tomas Satoransky,0.39
Tristan Thompson,0.36
Kendrick Nunn,0.35
Josh Richardson,0.33
Wendell Carter Jr.,0.32
Zion Williamson,0.32
Josh Hart,0.32
Brandon Clarke,0.25
P.J. Washington,0.23
Mikal Bridges,0.22
Derrick Favors,0.22
Paul Millsap,0.19
Christian Wood,0.16
Kris Dunn ,0.16
Danuel House Jr.,0.11
Taurean Prince,0.11
Shabazz Napier,0.11
Dillon Brooks,0.1
Miles Bridges,-0.02
Markelle Fultz,-0.05
DeAndre Jordan,-0.17
P.J. Tucker,-0.18
Nerlens Noel,-0.22
Harrison Barnes,-0.24
Marvin Bagley III ,-0.29
Tyler Herro,-0.31
Ish Smith,-0.31
Marquese Chriss,-0.34
Donte DiVincenzo,-0.35
Maxi Kleber,-0.37
